,DiskUsage,TotalCpus,TotalMemory,TotalDisk,CpuCacheSize,TotalVirtualMemory,GLIDEIN_Job_Max_Time,TotalSlots,CpuIsBusy,SlotType,Failure,Site
83279,39999,128,248000,911383244,512,263689916,7200,32,1,0,0,SDSC-Expanse
83280,663156,64,122000,669995600,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83285,67514,56,192000,149553652,39424,196111704,7200,15,1,0,0,TACC-Frontera
83301,193442,8,20000,1019902072,35840,135534364,34800,9,1,0,0,Bristol
83302,1668977,2,8000,1682843084,512,795798352,34800,3,1,0,0,RAL
83303,2317232,48,192000,149583868,33792,196453676,7200,13,0,0,0,TACC-Stampede2
83304,2048322,2,8000,1811114256,22528,296401468,34800,3,1,0,0,RAL
83305,1688386,4,16000,675366332,36608,429108476,34800,5,1,0,1,London_QMUL
83306,1612680,4,30000,4217615932,512,503709500,34800,5,1,0,1,SURFsara
83311,1348,1,2500,685081016,22528,167363360,34800,1,1,1,0,CIEMAT
83313,9447,8,20480,822411556,15360,196511388,34800,8,1,0,0,FZU
83314,2393720,128,248000,371397560,512,356653668,7200,32,0,0,0,Purdue-Anvil
83317,215080,128,248000,371398188,512,357436260,7200,32,1,0,0,Purdue-Anvil
83322,187941,128,248000,371397528,512,356119908,7200,32,0,0,0,Purdue-Anvil
83342,736887,8,16384,5297279468,35840,154750988,34800,8,1,0,0,PIC
83346,164913,64,122000,669995364,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83349,94723,64,122000,669995264,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83351,38521,64,122000,669995508,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83353,1279491,8,32768,6321835552,512,594668104,34800,5,1,0,1,Manchester
83355,212934,64,122000,669995288,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83359,80161,64,122000,669995292,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83365,81653,64,122000,669995724,40960,131890088,7200,11,0,0,0,T3_US_NERSC
